Name,Botanical_name,Botanical_family,Synonyms,CAS_No,FL_No,FEMA_No,NAS_No,CoE_No,EINECS_No,JECFA_No,E_No,Description,Consumption,Individual,CoE,FDA,FDA_other,JECFA,Trade_association_guidelines,IOFI,Specifications,Reported_uses_ppm,Food_Category_Usual_Max,Aroma_threshold_values,Taste_threshold_values,Empirical_Formula_MW,Synthesis,Natural_occurrence,EAFUS_No,Derivatives,Derivative_names,NOTE,Foreign_names,Essential_oil_composition,Genus_Species,Composition,INS_No,Animal_family,Physical_chemical_characteristics
"ETHYL trans-2-HEXENOATE",,,"Ethyl 2-ethyl dihydrocinnamate; Ethyl trans-2-hexenoate; Ethyl (E)-2-hexenoate; Ethyl (E)hex-2-enoate; (E)-Ethyl 2-hexenoate; 2-Hexenoic acid, ethyl ester, (2E)-",27829-72-7,9.85,3675,3675,631,248-681-5,1808,,"Ethyl trans-2-hexenoate has a fruity, green, pulpy pineapple and apple odor ","5.00 lb","0.00000423 mg/kg/day",,,,,"0.402 mg","Nature Identical","(JECFA, 2008); Appearance; Colorless liquid; Refractive index; 1.429–1.434 (20°C); Assay (min); 95%; Solubility; Slightly soluble in water; soluble in ; fats and ethanol; Boiling point; 110–111°C (10 mmHg); Refractive index; 1.429–1.434 (25°C)","(FEMA, 1994)","[['Alcoholic beverages', '0.20', '1.00'], ['Gelatins, puddings', '1.00', '5.00'], ['Baked goods', '2.50', '12.00'], ['Hard candy', '1.00', '5.00'], ['Confection, frosting', '2.00', '10.00'], ['Milk products', '0.50', '2.50'], ['Fruit ices', '0.60', '3.00'], ['Nonalcoholic beverages', '0.10', '0.50']]",,"Taste characteristics at 10 ppm; fruity, green and sweet with a juicy, fruity undernote ",C8H14O2/142.20,,"Reported found in apple brandy, cognac, grape brandy, concord grapes, wild grapes, passion fruit, quince, strawberry, guava, pineapple, pawpaw and wood apple ",,,,,,,,,,,
"ETHYL cis-3-HEXENOATE",,,"Ethyl Z-3-hexenoate; Ethyl (3Z)-hexenoate; Ethyl(Z) hex-3-enoate",64187-83-3,9.939,4112,,,264-724-0,1626,,"Clear, colorless liquid; green, wine-like aroma ",,,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2007)","1.819 mg",Artificial,"(JECFA, 2008); Assay (min); 96%; Solubility; Soluble in fats and nonpolar solvents; ; slightly soluble in water; soluble in ; ethanol; Boiling point; 90°C (50 mmHg); Specific gravity; 0.895–0.901 (25°C); Refractive index; 1.420–1.429 (20°C)","(FEMA, 2005)","[['Alcoholic beverages', '5.00', '20.00'], ['Hard candy', '10.00', '40.00'], ['Baked goods', '5.00', '20.00'], ['Imitation dairy', '2.00', '10.00'], ['Breakfast cereals', '2.00', '10.00'], ['Instant coffee, tea', '2.00', '10.00'], ['Chewing gum', '5.00', '25.00'], ['Jams, jellies', '5.00', '25.00'], ['Condiments, relishes', '2.00', '20.00'], ['Nonalcoholic beverages', '2.00', '10.00'], ['Confection, frosting', '5.00', '25.00'], ['Processed fruits', '1.00', '10.00'], ['Frozen dairy', '5.00', '20.00'], ['Seasonings, flavors', '25.00', '100.00'], ['Fruit ices', '5.00', '20.00'], ['Soft candy', '10.00', '40.00'], ['Gelatins, puddings', '5.00', '20.00'], ['Sweet sauce', '2.00', '10.00']]","Medium strength odor, tropical type; recommend smelling in a 10.00% solution or less ",,C8H14O2/142.2CH3OCH3O,,"Reported as a component of Mastic leaf oil at 0.07%",,,,,,,,,,,
"ETHYL 3-HEXENOATE",,,"Hydrosorbic acid, ethyl ester; Ethyl 3-hexenoate; Ethyl hex-3-enoate; 3-Hexenoic acid, ethyl ester",2396-83-0,9.191,3342,3342,,219-257-7,335,,"Ethyl 3-hexenoate has a green, fruity aroma ","20.00 lb","0.00001694 mg/kg/day",,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1998)","0.442 mg","Nature Identical","(JECFA, 1998); Appearance; Colorless liquid; Refractive index; 1.424–1.428 (20°C); Assay (min); 95%; Specific gravity; 0.897–0.901 (25°C); Boiling point; 63–64°C","(FEMA, 1994)","[['Baked goods', '2.00', '4.00'], ['Jams, jellies', '1.00', '2.00'], ['Frozen dairy', '1.00', '2.00'], ['Nonalcoholic beverages', '1.00', '2.00'], ['Gelatins, puddings', '1.00', '2.00'], ['Soft candy', '2.00', '4.00']]",,"Taste characteristics at 10 ppm; fruity, green, sweet and pineapple-like ",C8H14O2/142.20,"From 3-hexenoic acid and dicyclohexylcarbodimide; by fungal fermentation (20°C) of 3-hexenoic acid using Saccharomyces cerevisiae; from trialkylboranes and ethyl-4-bromocrotonate in the presence of 2,6-di-tert-butyl-phenoxide; by pyrolysis of acetates ","Reported found in pineapple, melon, beer, passion fruit juice, quince, plumcot, prickly pear and kiwifruit ",,,,,,,,,,,
"ETHYL 5-HEXENOATE",,,"5-Hexenoic acid, ethyl ester; Ethyl hex-5-enoate",54653-25-7,,3976,,,,1273,,"Ethyl-5-hexenoate has a fruity aroma",,,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2003)","1.173 mg (FEMA)",,"(JECFA, 2003); Acid value (max); 1.0; Identification test; NMR, MS, IR spectra; Appearance; Colorless liquid; fruity aroma; Refractive index; 1.423–1.437 (20°C); Assay (min); 95%; Solubility; Insoluble in water; soluble in most ; nonpolar solvents; Boiling point; 181–182°C; Specific gravity; 0.902–0.912 (25°C)","(FEMA, 2001)","[['Alcoholic beverages', '3.00', '5.00'], ['Gelatins, puddings', '4.00', '6.00'], ['Baked goods', '4.00', '8.00'], ['Hard candy', '4.00', '8.00'], ['Chewing gum', '16.00', '30.00'], ['Nonalcoholic beverages', '3.00', '5.00'], ['Frozen dairy', '4.00', '6.00'], ['Soft candy', '4.00', '6.00'], ['Fruit ices', '3.00', '5.00']]","sharp estery, sweet with ripe fruity pineapple, apple and strawberry with winy and acidic depth notes ","Taste characteristics at 5 to 10 ppm; sweet, pineapple, jamy overripe fruity and strawberry with sweet onenanthic tutti-fruitti candy nuances ",C8H14O2/142.20CH3OOCH2,,"Reportedly present in tea, pineapple, strawberry and Chinese quince peel ",,,,,,,,,,,
"1-ETHYLHEXYL TIGLATE",,,"1-Ethylhexyl 2-methylcrotonate",94133-92-3,9.539,3676,3676,,302-757-5,448,,"1-Ethylhexyl tiglate has a spicy, peppery, herbaceous odor ",,,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1995)","0.283 mg",Artificial,"(JECFA, 1998); Acid value (max); 2.9; Refractive index; 1.441–1.447 (20°C); Assay (min); 95%; Solubility; Completely miscible with alcohol and ; diluted alcohol; Boiling point; 94–96°C; Specific gravity; 0.879–0.885 (25°C)","(FEMA, 1994)","[['Condiments, relishes', '', '20.00'], ['Seasonings, flavorings', '', '250.00'], ['Gravies', '', '50.00'], ['Snack foods', '', '20.00'], ['Meat products', '', '20.00'], ['Soups', '', '20.00']]",,,C13H24O2/212.34CH3OCH3CH3OCH3,,"Not reported found in nature",,,,,,,,,,,
ETHYL-3-HYDROXYBUTYRATE,,,"Ethyl-3-hydroxybutanoate; Butanoic acid, 3-hydroxy-, ethyl ester;  Butyric acid,. 3-hydroxy-,. ethyl. ester;  Ethyl 3-hydroxybutyrate",5405-41-4,9.522,3428,3428,10596,226-456-2,594,,"Ethyl-3-hydroxybutyrate has a fresh, fruity, grape odor ","550.00 lb","0.0004661 mg/kg/day",,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1995)","2.263 mg","Nature Identical","(JECFA, 1998); Appearance; Colorless viscous liquid; Refractive index; 1.416–1.424 (20°C); Assay (min); 99%; Solubility; 100 g in 100 mL water (23°C); Boiling point; 170°C; 67 (4 mmHg); Specific gravity; 1.010–1.017 (25°C)","(FEMA, 1994)","[['Baked goods', '5.00', '5.00'], ['Milk products', '5.00', '5.00'], ['Chewing gum', '4.50', '4.50'], ['Nonalcoholic beverages', '10.00', '80.00'], ['Frozen dairy', '3.00', '3.00'], ['Soft candy', '10.00', '100.00'], ['Gelatins, puddings', '10.00', '80.00']]",,"Taste characteristics at 30 ppm; green, fruity and winy ",C6H12O3/132.16,"By catalytic hydrogenation of acetoacetate","Reported found in passion fruit, rum, sherry, wine, orange juice, guava, pineapple, tea, mango, wood apple, mountain papaya, naranjilla fruit, quince and hog plum (Spondias mombins L )",,,,,,,,,,,
3-ETHYL-2-HYDROXY-2-CYCLOPENTEN-1-ONE,,,"3-Ethyl-2-hydroxycyclopent-2-en-1-one; 3-Ethyl-2-hydroxy-2-cyclopenten-1-one; 2-Hydroxy-3-ethyl-2-cyclopenten-1-one; 2-Cyclopenten-1-one, 3-ethyl-2-hydroxy-4-methyl-",21835-01-08,7.057,3152,3152,759,244-606-5,419,,"3-Ethyl-2-hydroxy-2-cyclopenten-1-one has a caramel-like flavor. This compound is often employed to impart a cara-mel flavor or coconut notes in food. The compound exhibits flavor-enhancing characteristics","450.00 lb","0.0003813 mg/kg/day","50 ppm",,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1998)","1.295 mg",Natural,"(JECFA, 1998); Appearance; White, crystalline powder; Refractive index; 1.47–1.48 (20°C); Assay (min); 90%; Solubility; Miscible with alcohol, glycerol, ; benzyl alcohol and water; Boiling point; 78–80°C; Specific gravity; 1.060–1.066 (25°C); Melting point; 36–43°C","(FEMA, 1994)","[['Alcoholic beverages', '1.33', '3.33'], ['Gelatins, puddings', '5.21', '10.60'], ['Baked goods', '6.15', '12.11'], ['Nonalcoholic beverages', '2.00', '4.19'], ['Frozen dairy', '2.28', '4.75'], ['Soft candy', '6.15', '12.11']]","Aroma characteristics at 0.5%; sweet, brown, caramellic, maple, brown sugar, rum, whiskey, furanone ","A threshold value of 5 ppm, similar to the 3-methyl analog, has been determined by comparative sensory evaluation. Taste characteristics at 12 ppm:sweet, jamy, fruity, brown, toasted, maple, nutty ",C7H10O2/126.15,"From 5-methyl-3,5-dicarbethoxy-2-cyclopen-ten-2-ol-one and phosphoric acid; by a patented process; also from dimethyl adipate ","Data not found",,,,,,,,,,,
3-ETHYL-2-HYDROXY-4-METHYLCYLCOPENT-2-EN-1-ONE,,,"2-Cyclopenten-1-one, 3-ethyl-2-hydroxy-4-methyl-; 3-Ethyl-2-hydroxy-4-methylcyclopent-2-en-1-one; 3-Ethyl-2-hydroxy-4-methyl-2-cyclopenten-1-one",42348-12-9,7.117,3453,3453,11077,255-767-6,422,,,"<1.00 lb","0.00000289 mg/kg/day",,,"n a","Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1998)","0.325 mg",,"(JECFA, 1998); Assay (min); 99%; Solubility; Soluble in fat; slightly insoluble in ; water; miscible in ethanol","(FEMA, 1994)","[['Baked goods', '1.00', '5.00'], ['Milk products', '1.00', '1.00'], ['Chewing gum', '5.00', '5.00'], ['Nonalcoholic beverages', '1.00', '5.00'], ['Frozen dairy', '1.00', '5.00'], ['Soft candy', '1.00', '5.00'], ['Gelatins, puddings', '0.60', '0.60']]",,,C8H12O2/140.18,,"Reported found in coffee",,,,,,,,,,,
5-ETHYL-2-HYDROXY-3-METHYLCYCLOPENT-2-EN-1-ONE,,,"2-Cyclopenten-1-one, 5-ethyl-2-hydroxy-3-methyl-; 5-Ethyl-3-methylcyclotene",53263-58-4,7.118,3454,3454,11078,258-451-6,423,,,"<1.00 lb","0.00000438 mg/kg/day",,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1998)","0.353 mg",,"(JECFA, 1998); Assay (min); 99%; Solubility; Slightly soluble in water; soluble in ; ethanol, fat and propylene glycol","(FEMA, 1994)","[['Baked goods', '1.00', '5.00'], ['Milk products', '1.00', '1.00'], ['Frozen dairy', '1.00', '5.00'], ['Nonalcoholic beverages', '1.00', '5.00'], ['Gelatins, puddings', '2.00', '2.00'], ['Soft candy', '1.00', '5.00']]",,,C8H12O2/140.18CH3OOHCH3,,"Reported found in coffee",,,,,,,,,,,
2-ETHYL-4-HYDROXY-5-METHYL-3(2H)-FURANONE,,,"2-Ethyl-4-hydroxy-5-methylfuran-3(2H)-one;  2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone;  3(2H)-Furanone, 2-ethyl-4-hydroxy-5-methyl-; 4-Hydroxy-2-ethyl-5-methyl-3(2H)-furanone",27538-09-6@27538-10-9a,13.084,3623,3623,,248-513-0248-514-6a,1449,,"2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone has a sweet, fruity, caramel, butterscotch odor ","26.67 lb","0.00002259 mg/kg/day",,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2004)","0.328 mg","Nature Identical","(JECFA, 2008); Acid value (max); 4.0; Refractive index; 1.509–1.514 (20°C); Appearance; Yellow liquid; Solubility; Soluble in water and ethanol; ; insoluble in fats; Assay (min); 96%; Specific gravity; 1.133–1.143 (25°C); Boiling point; 103°C (15 mmHg)","(FEMA, 1994)","[['Baked goods', '1.00', '2.00'], ['Hard candy', '1.00', '2.00'], ['Chewing gum', '10.00', '20.00'], ['Imitation dairy', '0.25', '1.00'], ['Confection, frosting', '0.25', '0.50'], ['Meat products', '0.50', '1.00'], ['Gelatins, puddings', '1.50', '3.00'], ['Milk products', '0.25', '0.50'], ['Gravies', '0.50', '1.00'], ['Nonalcoholic beverages', '1.00', '2.00']]","20 ppb","Taste characteristics at 20 ppm; burnt, caramellic, sweet and fruity ",C7H10O3/142.15CH3OOOHCH3,,"Reported found in soy sauce, Swiss cheese and melon, coffee, shoyu, strawberry and pineapple ",,,,"a. Isomer:4-Hydroxy-2-ethyl-5-methyl-3(2H)-furanone",,,,,,,
5-ETHYL-3-HYDROXY-4-METHYL-2(5H)-FURANONE,,,"2,4-Dihydroxy-3-methyl-2-hexenoic acid,. γ-lactone;  5-Ethyl-3-hydroxy-4-methylfuran-2(5H)-one;  5-Ethyl-3-hydroxy-4-methyl-2(5H)-furanone; 2(5H)-Furanone, 5-ethyl-3-hydroxy-4-methyl-; 4-Methyl-5-ethyl-3-hydroxyfuranon",0698-10-2,10.023,3153,3153,2300,211-811-6,222,,"5-Ethyl-3-hydroxy-4-methyl-2(5H)-furanone has a sweet, maple, caramel odor ","116.67 lb","0.00009886 mg/kg/day",,,,,"1.487 mg","Nature Identical","(JECFA, 1998); Appearance; Yellow liquid; Refractive index; 1.486–1.493 (20°C); Assay (min); 95%; Solubility; Soluble in water","(FEMA, 1994)","[['Alcoholic beverages', '4.52', '6.58'], ['Gelatins, puddings', '2.58', '2.58'], ['Baked goods', '4.08', '4.70'], ['Meat products', '4.00', '8.00'], ['Chewing gum', '29.14', '85.09'], ['Nonalcoholic beverages', '2.75', '3.83'], ['Frozen dairy', '3.87', '3.87'], ['Soft candy', '4.08', '4.70']]","7.5 ppb","Taste characteristics at 50 ppm; sweet, fruity with brown maple note ",C7H10O3/142.15,,"Reported found in coffee",,,,,,,,,,,
"ETHYL 3-HYDROXYHEXANOATE",,,"Hexanoic acid, 3-hydroxy-, ethyl ester; Ethyl 3-hydroxyhexanoate; Hexanoic acid, 3-hydroxy-, ethyl ester",2305-25-1,9.535,3545,3545,11764,218-973-7,601,,"Ethyl 3-hydroxyhexanoate has a fruity odor","1.67 lb","0.00000141 mg/kg/day",,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1995)","0.416 mg","Nature Identical","(JECFA, 1999); Acid value (max); 1.0; Refractive index; 1.424–1.433 (20°C); Appearance; Colorless to pale-yellow liquid; Solubility; Insoluble in water and oils; Assay (min); 95%; Specific gravity; 0.967–0.976 (25°C); Boiling point; 101–102°C","(FEMA, 1994)","[['Alcoholic beverages', '0.20', '1.00'], ['Fruit ices', '0.20', '1.00'], ['Baked goods', '2.00', '5.00'], ['Gelatins, puddings', '0.20', '1.00'], ['Breakfast cereals', '2.00', '5.00'], ['Jams, jellies', '0.20', '1.00'], ['Chewing gum', '0.30', '1.00'], ['Milk products', '0.20', '1.00'], ['Confection, frosting', '0.30', '1.00'], ['Nonalcoholic beverages', '0.20', '1.00'], ['Frozen dairy', '0.20', '1.00'], ['Other grains', '2.00', '5.00']]",,"Taste characteristics at 80 ppm; sweet, fruity, grape with citrus notes ",C8H16O3/160.21,,"Reported found in citrus, grape, orange, grapefruit and tangerine juice, orange peel oil, pineapple, strawberry, cognac, Scotch whiskey, red and white wine, passion fruit, mango, quince, wood apple, mountain papaya, pawpaw and hog plum (Spondias mombins L ) ",,,,,,,,,,,
"ETHYL ISOBUTYRATE",,,"Ethyl. 2-methylpropanoate;  Ethyl. isobutanoate;  Ethylisobutyrate;  Ethyl isobutyrate;  Ethyl. 2-methylpropionate; Isobutyric acid, ethyl ester; Propanoic acid, 2-methyl-, ethyl ester; Propionic acid, 2-methyl-, ethyl ester",97-62-1,9.413,2428,2428,288,202-595-4,186,,"Ethyl isobutyrate has a fruity aromatic odor","8950.00 lb","0.007584 mg/kg/day","200 ppm","21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1997)","3.017 mg",Natural,"(FCC, 1996); Acid value (max); 1.0; Refractive index; 1.385–1.389 (20°C); Appearance; Colorless liquid; Solubility; 1:1 in 95% alcohol; Assay (min); 98% C6H12O2; Specific gravity; 0.862–0.868 (25°C); Boiling point; 112–113°C","(FEMA, 1994)","[['Alcoholic beverages', '0.23', '0.23'], ['Hard candy', '2.00', '2.00'], ['Baked goods', '9.00', '80.00'], ['Meat products', '5.20', '5.20'], ['Chewing gum', '6.70', '6.70'], ['Nonalcoholic beverages', '9.10', '30.00'], ['Frozen dairy', '5.64', '21.80'], ['Seasonings, flavorings', '10.00', '30.00'], ['Gelatins, puddings', '10.00', '10.00'], ['Soft candy', '12.00', '100.00']]","0.01 to 1 ppb","Taste characteristics at 12.5 ppm; pungent, ethereal and fruity with a rum- and eggnog-like nuance. Taste characteristics at 20 ppm:sweet, ethereal, fruity with a rum-like nuance ",C6H12O2/116.16,"By esterification of ethanol with isobutyric acid under azeotropic conditions","Reported found in apple juice, banana, chocolate, cognac, Concord grape, honey, apricot, orange, pineapple, rum, strawberry, strawberry oil, watermelon, whiskey, champagne wine, grape wine, beer, port, passion fruit wine, sherry wine, orange juice, papaya, mango, kiwi fruit, quince, spineless monkey orange (Strychnos madagasc ), spearmint oil and Parmesan cheese ",,,,,,,,,,,
"ETHYL ISOTHIOCYANATE",,,"Ethyl mustard oil; Ethyl thioisocyanate; Isothiocyanatoethane; Isothiocyanic acid, ethyl ester; Ethane, isothiocyanato-",542-85-8,,4420,,,208-831-2,1885,,"Colorless liquid; sharp, mustard-like aroma ",,,,,,,"0.044 mg",,"(JECFA, 2008); Assay (min); 99%; Solubility; Very slightly soluble in water; freely ; soluble in ether; soluble in ethanol; Boiling point; 130–132°C ; Specific gravity; 0.997–1.004 (25°C); Refractive index; 1.510–1.515 (20°C)","(FEMA, 2007)","[['Fats/oils', '0.10', '0.50'], ['Snack foods', '0.10', '0.50'], ['Meat products', '0.50', '2.50'], ['Soups', '0.10', '0.50'], ['Seasonings/flavors', '0.20', '1.00']]","High strength odor, recommend smelling in a 0.01% solution or less ",,C3H5NS/87.15CH3NS,,"Reported found in horseradish",,,,,,,,,,,
"ETHYL ISOVALERATE",,,"Ethyl β-methylbutyrate; Butanoic acid, 3-methyl-, ethyl ester; Butyric acid, 3-methyl-, ethyl ester; Ethyl isovalerate; Ethyl 3-methylbutanoate; Ethyl 3-methylbutyrate; Isovaleric acid, ethyl ester",108-64-5,9.447,2463,2463,442,203-602-3,196,,"Ethyl isovalerate has a strong, fruity, vinous, apple-like odor on dilution ","10450.00 lb","0.008855 mg/kg/day","30 ppm","21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1997)","2.489 mg",Natural,"(JECFA, 2008); Acid value (max); 2.0; Refractive index; 1.395–1.399 (20°C); Appearance; Colorless liquid; Solubility; Soluble in propylene glycol; 1 mL in ; 350 mL water; miscible with alcohol, ; most fixed oils; Assay (min); 98% C7H14O2; Specific gravity; 0.862–0.866 (25°C); Boiling point; 135°C","(FEMA, 1994)","[['Alcoholic beverages', '1.70', '3.30'], ['Hard candy', '10.98', '13.08'], ['Baked goods', '5.50', '80.00'], ['Jams, jellies', '9.70', '100.00'], ['Breakfast cereals', '0.022', '0.022'], ['Meat products', '0.10', '0.10'], ['Cheese', '13.00', '13.00'], ['Milk products', '0.50', '1.00'], ['Chewing gum', '48.70', '98.00'], ['Nonalcoholic beverages', '7.30', '97.00'], ['Confection, frosting', '2.60', '25.00'], ['Seasonings, flavorings', '10.00', '30.00'], ['Frozen dairy', '1.55', '13.00'], ['Snack foods', '1.00', '2.00'], ['Fruit ices', '10.00', '25.00'], ['Soft candy', '6.40', '100.00'], ['Fruit juice', '4.20', '10.00'], ['Sweet sauce', '6.20', '24.00'], ['Gelatins, puddings', '3.60', '50.00']]","0.01 to 0.4 ppb","Taste characteristics at 30 ppm; fruity, sweet, estry and berry-like with a ripe, pulpy fruity nuance ",C7H14O2/130.19,"By esterification of isovaleric acid with ethyl alcohol in the presence of concentrated H2SO4","Reported found in pineapple, orange juice and peel oil, bilberry, blueberry, strawberry, Swiss cheese, other cheeses, beer, cognac, rum, cider, whiskey, sherry, grape wines, cocoa, passion fruit, mango and mussels ",,,,,,,,,,,
"ETHYL LACTATE",,,"Ethyl. α-hydroxy. propionate;  Actylol;  Ethyl. 2-hydroxypropanoate;  Ethyl. 2-hydroxypropionate;  Ethyl lactate; 2-Hydroxypropanoic acid ethyl ester; Lactic acid, ethyl ester; Propanoic acid, 2-hydroxy-, ethyl ester",97-64-3,9.433,2440,2440,371,202-598-0,931,,"Ethyl lactate has a light ethereal, buttery odor ","9366.67 lb","0.007937 mg/kg/day",Approved,"21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2001)","13.102 mg","Nature Identical","(JECFA, 2008); Acid value (max); 5.0; Refractive index; 1.408–1.422 (20°C); Appearance; Colorless liquid; Solubility; Miscible in water and ethanol; soluble ; in organic solvents, oils; Assay (min); 97% C5H10O3; Specific gravity; 1.029–1.037 (25°C); Boiling point; 154°C","(FEMA, 1994)","[['Alcoholic beverages', '9.77', '961.50'], ['Hard candy', '68.48', '92.40'], ['Baked goods', '35.87', '613.30'], ['Meat products', '8.30', '8.30'], ['Chewing gum', '184.20', '1449.00'], ['Milk products', '100.00', '150.00'], ['Frozen dairy', '26.81', '339.00'], ['Nonalcoholic beverages', '11.66', '80.96'], ['Gelatins, puddings', '55.75', '97.00'], ['Soft candy', '25.59', '161.70']]","50 to 250 ppm","Taste characteristics at 50 ppm; sweet, fruity, creamy, and pineapplelike with a caramellic brown nuance ",C5H10O3/118.13,"d-Ethyl lactate is obtained from d-lactic acid by azeotropic distillation with ethyl alcohol or benzene in the presence of concentrated H2SO4; the l-form is prepared in a similar fashion starting from l-lactic acid; the racemic product is prepared by boiling for 24 hours optically inactive lactic acid with ethyl alcohol in carbon tetrachloride, or with an excess of ethyl alcohol in the presence of chlorosulfonic acid, or in the presence of benzenesulfonic acid in benzene solution ","Reported found in apple, apricot, grape, pineapple, raspberry, chicken, cocoa, plum, blackberry, cabbage, vin-egar, rye and wheat bread, butter, beer, cognac, rum, whiskey, sherry, grape wines, fruit brandies and soy sauce ",,,,,,,,,,,
